89;arms_factory;2764.00;12.00;928.00;1.83;0
89;arms_factory;2773.00;11.25;925.00;5.95;0
89;arms_factory;2766.00;11.45;948.00;2.68;0
89;arms_factory;2793.00;10.80;952.00;3.90;0
89;arms_factory;2783.00;10.80;951.00;1.73;0
89;arms_factory;2754.00;12.95;917.00;4.40;0
89;industrial_complex;2765.00;11.80;934.00;5.96;0
89;industrial_complex;2768.00;11.70;914.00;2.34;0
89;industrial_complex;2821.00;11.93;952.00;0.18;0
89;industrial_complex;2824.00;11.85;950.00;1.39;0
89;industrial_complex;2799.00;11.18;919.00;4.40;0
89;industrial_complex;2765.00;12.05;924.00;0.79;0
89;air_base;2751.00;11.75;898.00;4.91;0
89;supply_node;2769.00;11.10;944.00;0.58;0
89;supply_node;2808.00;11.60;961.00;4.62;0
89;supply_node;2765.00;10.95;894.00;1.28;0
89;supply_node;2752.00;12.30;942.00;2.76;0
89;supply_node;2795.00;11.05;914.00;5.69;0
89;supply_node;2754.00;12.05;908.00;2.00;0
89;supply_node;2795.00;10.95;934.00;4.93;0
89;supply_node;2787.00;11.10;924.00;1.58;0
89;supply_node;2820.00;11.00;974.00;4.17;0
89;supply_node;2767.00;11.70;913.00;0.82;0
89;supply_node;2750.00;11.65;897.00;2.30;0
89;supply_node;2783.00;11.70;909.00;0.06;0
89;supply_node;2825.00;13.48;961.00;2.99;0
89;supply_node;2804.00;11.68;924.00;4.47;0
89;supply_node;2789.00;10.70;948.00;2.23;0
89;supply_node;2820.00;11.95;950.00;3.71;0
89;supply_node;2805.00;11.48;945.00;0.36;0
89;supply_node;2817.00;12.07;936.00;4.40;0
89;supply_node;2781.00;11.10;936.00;5.88;0
89;supply_node;2769.00;11.50;928.00;2.53;0
89;supply_node;2757.00;12.70;922.00;5.12;0
89;supply_node;2777.00;11.50;919.00;1.77;0
89;supply_node;2771.00;11.65;903.00;4.71;0
89;supply_node;2792.00;11.50;901.00;1.01;0
89;supply_node;2781.00;11.65;896.00;3.95;0
89;bunker;2782.00;11.10;928.00;4.64;0
89;bunker;2812.00;11.00;973.00;2.48;0
89;bunker;2789.00;10.70;941.00;4.03;0
89;bunker;2786.00;11.10;933.00;0.41;0
89;bunker;2749.00;13.10;933.00;3.08;0
89;bunker;2757.00;11.45;899.00;0.92;0
