2;2965.00;10.50;1136.00;big
2;2903.00;10.50;1075.00;big
3;2815.00;10.50;1100.00;big
3;2650.00;10.50;1014.00;big
4;2795.00;10.50;914.00;big
4;2856.00;10.50;1009.00;big
5;2710.00;10.50;803.00;big
5;2752.00;10.50;858.00;big
6;4277.00;10.50;138.00;big
6;3666.00;10.50;153.00;big
7;834.00;10.50;732.00;big
7;331.00;10.50;1147.00;big
8;492.00;10.50;189.00;big
8;176.00;10.50;292.00;big
9;898.00;10.50;1482.00;big
9;1250.00;10.50;1359.00;big
10;538.00;10.50;1816.00;big
10;152.00;10.50;1803.00;big
11;692.00;9.50;215.00;big
11;889.00;9.50;172.00;big
12;1130.00;9.50;432.00;big
12;1263.00;9.70;615.00;big
13;1583.00;9.50;761.00;big
13;1443.00;9.50;700.00;big
14;1405.00;10.50;1001.00;big
14;1787.00;10.50;1077.00;big
15;1362.00;10.50;255.00;big
15;1861.00;10.50;478.00;big
16;2377.00;10.50;888.00;big
16;2221.00;10.50;808.00;big
17;2244.00;10.10;595.00;big
17;2158.00;9.50;670.00;big
18;2263.00;9.50;546.00;big
18;2312.00;9.50;569.00;big
19;2436.00;10.50;1139.00;big
19;2206.00;10.50;1203.00;big
20;2828.00;9.50;854.00;big
20;2857.00;10.50;901.00;big
21;2351.00;10.50;245.00;big
21;2984.00;10.50;201.00;big
22;2656.00;10.50;705.00;big
22;2731.00;10.50;504.00;big
23;2098.00;9.50;726.00;big
23;2070.00;10.50;776.00;big
24;2551.00;10.50;880.00;big
24;2553.00;10.50;766.00;big
25;2395.00;10.50;677.00;big
25;2521.00;10.50;567.00;big
26;2920.00;9.50;990.00;big
26;2957.00;10.50;1054.00;big
27;2967.00;10.50;872.00;big
27;3107.00;10.50;716.00;big
28;3232.00;10.50;1176.00;big
28;3493.00;10.50;1363.00;big
29;3836.00;10.50;622.00;big
29;3390.00;10.50;704.00;big
30;2764.00;10.50;718.00;big
30;2884.00;10.50;587.00;big
31;3372.00;10.50;321.00;big
31;3080.00;9.50;433.00;big
32;2991.00;9.50;1092.00;big
32;3024.00;9.50;1141.00;big
33;3178.00;9.50;1447.00;big
33;3430.00;9.50;1814.00;big
34;3100.00;10.50;1814.00;big
34;2766.00;10.50;1379.00;big
35;2042.00;10.50;1466.00;big
35;2192.00;10.50;1815.00;big
36;1316.00;9.50;724.00;big
36;1314.00;10.50;772.00;big
37;1030.00;9.50;286.00;big
37;988.00;9.50;308.00;big
38;4013.00;10.50;977.00;big
38;3816.00;10.50;1197.00;big
39;3997.00;10.50;1848.00;big
39;3690.00;10.50;1675.00;big
40;4763.00;10.50;52.00;big
40;4600.00;10.50;99.00;big
41;4324.00;9.50;302.00;big
41;4074.00;10.50;279.00;big
42;3632.00;9.50;319.00;big
42;3828.00;9.50;319.00;big
43;4466.00;10.50;568.00;big
43;5271.00;10.50;474.00;big
44;4684.00;10.50;1801.00;big
44;4396.00;10.50;1258.00;big
45;5368.00;10.50;1711.00;big
45;5117.00;10.50;1185.00;big
46;1662.00;10.50;1779.00;big
46;1098.00;10.50;1858.00;big
47;2518.00;10.50;1806.00;big
47;2721.00;10.50;1926.00;big
